Manufacturer,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban Cold,Metric Extra-Urban,Metric Combined,Imperial Urban Cold,Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel_Cost_12000_Miles,Noise Level dBA,Emissions CO mg/km,Emissions Nox mg/km
ALFA ROMEO,1.3 JTDm-2 95 bhp,M5,1248,Diesel,4.3,2.9,3.4,65.7,97.4,83.1,89,807,67.5,234,67
BMW,116d ED Plus 16'' tyres,M6,1496,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,68,119,37
BMW,116d ED Plus 16'' tyres,M6,1496,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,68,119,37
CITROEN,BlueHDi 100 S&S,M5,1560,Diesel,3.7,3.1,3.3,76.3,91.1,85.6,86,784,68.8,272,55
CITROEN,BlueHDi 100 S&S ETG6,AMT6,1560,Diesel,3.9,3.2,3.4,72.4,88.3,83.1,89,807,69.2,185,40
DACIA,dCi 90,M5,1461,Diesel,3.7,3.5,3.5,76.4,83.1,80.7,90,831,73.8,271,31
DACIA,dCi 90,M5,1461,Diesel,3.7,3.4,3.5,76.4,83.1,80.7,90,831,71.5,155,30
DS,BlueHDi 100 S&S,M5,1560,Diesel,3.8,3.2,3.4,74.3,88.3,83.1,87,807,69.4,196,34
FIAT,1.3 MultiJet 95 bhp,M5,1248,Diesel,4.1,3,3.4,68.9,94.2,83.1,89,807,71.5,177,40
FIAT,1.6 MultiJet 120 bhp Elite (Eco),M6,1598,Diesel,4,3,3.4,70.6,94.2,83.1,89,807,69,202,59
FIAT,1.6 MuliJet 120 bhp Elite (Eco),M6,1598,Diesel,4,3,3.4,70.6,94.2,83.1,89,807,69,202,59
FORD,1.5 TDCi (120PS) With Stop/Start,M6,1499,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,89,831,66.4,161,67
FORD,1.5 TDCi (85PS) With Stop/Start - 3 Door,M6,1499,Diesel,3.5,3,3.2,80.7,94.2,88.3,82,760,66.7,241,58
FORD,1.5 TDCi (85PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.7,3.1,3.3,76.3,91.1,85.6,84,784,66.7,241,58
FORD,1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,3.4,3,3.2,83.1,94.2,88.3,82,760,70,359,62
FORD,1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,3.4,3,3.2,83.1,94.2,88.3,82,760,70,359,62
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
MAZDA,1.5 SKYACTIV-D (105PS) 5 door,M6,1499,Diesel,3.8,3.2,3.4,74.3,88.3,83.1,89,807,66,182,47
MERCEDES-BENZ,A180 d with 16'' rear wheels,M6,1461,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,89,831,72,277,53
MERCEDES-BENZ,A 180 d with 16'' rear wheels,M6,1461,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,89,831,72,277,53
MINI,MINI One D - 15'' & 16'' tyres,M6,1496,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,71,193,38
NISSAN,1461cc 15-16 inch wheel stop start,M5,1461,Diesel,3.5,3.1,3.2,80.7,91.1,88.3,85,760,66,175,27
PEUGEOT,1.6 BlueHDi 100,M5,1560,Diesel,4.2,3,3.5,67.3,94.2,80.7,90,831,68.2,243,35
PEUGEOT,1.6 BlueHDi 100 S&S,M5,1560,Diesel,3.6,2.7,3,78.5,104.6,94.2,79,712,68.2,196,34
PEUGEOT,1.6 BlueHDi 75,M5,1560,Diesel,4.2,3,3.5,67.3,94.2,80.7,90,831,70.8,243,35
PEUGEOT,1.6 BlueHDi 75 S&S,M5,1560,Diesel,3.6,2.7,3,78.5,104.6,94.2,79,712,70.8,196,34
PEUGEOT,1.6 BlueHDi 120 S&S Active,M6,1560,Diesel,3.5,2.9,3.1,80.7,97.4,91.1,82,737,68.3,170,62
PEUGEOT,1.6 BlueHDi 120 S&S Allure,M6,1560,Diesel,3.6,3,3.2,78.5,94.2,88.3,84,760,68.3,118,62
PEUGEOT,1.6 BlueHDi 100 S&S,M5,1560,Diesel,3.9,3.3,3.5,72.4,85.6,80.7,90,831,68,267,53
PEUGEOT,1.6 BlueHDi 120 S&S Active,M6,1560,Diesel,3.6,3,3.2,78.5,94.2,88.3,85,760,68.3,118,62
PEUGEOT,1.6 BlueHDi 120 S&S Allure,M6,1560,Diesel,3.6,3.2,3.3,78.5,88.3,85.6,88,784,68.3,118,62
RENAULT,dCi 110 S/S,M6,1461,Diesel,3.8,3.3,3.5,74.3,85.6,80.7,90,831,72,354,18
RENAULT,Energy dCi 90 S/S,M5,1461,Diesel,3.5,3.1,3.3,80.7,91.1,85.6,85,784,72.3,158,33
RENAULT,Energy dCi 90 S/S ECO,M5,1461,Diesel,3.3,3.1,3.2,86.6,91.1,88.3,82,760,72.3,158,33
RENAULT,dCi 90 S/S,M5,1461,Diesel,3.5,3.1,3.3,80.7,91.1,85.6,85,784,72.3,158,33
RENAULT,Energy dCi 90 S/S ECO,M5,1461,Diesel,3.4,3.1,3.2,83.1,91.1,88.3,84,760,72.3,158,33
SKODA,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,90,831,72,116,54
SKODA,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,90,831,72,116,54
TOYOTA,1.4 D-4D 6-speed Manual with 15'' alloy wheels,6MT,1364,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,68,54,57
VAUXHALL,1.3 CDTi 95PS SRi VX-Line Stop/Start ecoFLEX with 15'' 16'' and 17'' wheels,M5,1248,Diesel,3.7,3,3.3,76.3,94.2,85.6,87,784,73,141,64
VAUXHALL,1.3 CDTi 95PS SRi VX-Line ecoFLEX Stop/Start with 15'' 16'' and 17'' wheels,M5,1248,Diesel,3.7,3,3.3,76.3,94.2,85.6,87,784,73,141,64
VAUXHALL,1.3 CDTi 95PS SE Stop/Start ecoFLEX with 16'' wheels,M5,1248,Diesel,3.8,3,3.3,74.3,94.2,85.6,87,784,73,141,64
VAUXHALL,1.3 CDTi 95PS SRi VX-Line Start/Stop ecoFLEX,M5,1248,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,89,807,73,141,64
VAUXHALL,1.3 CDTi 95PS Design ecoFLEX Stop/Start with 15'' and 16'' wheels,M5,1248,Diesel,3.7,3,3.3,76.3,94.2,85.6,87,784,73,141,64
VOLVO,D2,6MT,1969,Diesel,3.8,3.1,3.4,74.3,88.3,83.1,89,807,73,117,53
ALFA ROMEO,1.6 JTDm-2 (MY 2015),M6,1598,Diesel,4.7,3.2,3.8,60.1,88.3,74.3,99,903,72,251,21
ALFA ROMEO,1.6 JTDm-2 120 (MY 2016),SAT6,1598,Diesel,4.7,3.2,3.8,60.1,88.3,74.3,99,903,74,117,62
AUDI,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,97,879,72,109,36
AUDI,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,97,879,72,109,36
AUDI,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,98,879,72,109,36
AUDI,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,71,109,27
AUDI,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,71,109,27
AUDI,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,97,879,72,109,36
AUDI,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,97,879,72,109,36
AUDI,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,4.5,3.2,3.7,62.8,88.3,76.3,98,879,72,109,36
AUDI,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,71,109,27
AUDI,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,71,109,27
AUDI,1.6 TDI 110PS 16'' wheels,M6,1598,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,71,116,54
AUDI,2.0 TDI 150PS Ultra 17'' wheels,M6,1968,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,99,903,70,196,63
BMW,116d 16'' tyres,A8,1496,Diesel,4.1,3.4,3.6,68.9,83.1,78.5,96,855,68,86,25
BMW,"116d 16"" tyres",M6,1496,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,68,173,29
BMW,118d 16'' tyres,A8,1995,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,99,903,73,169,30
BMW,116d 16'' tyres,M6,1496,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,68,173,29
BMW,116d 16'' tyres,A8,1496,Diesel,4.1,3.4,3.6,68.9,83.1,78.5,96,855,68,86,25
BMW,118d 16'' tyres,A8,1995,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,99,903,73,169,30
BMW,216d Active Tourer - 16'' & 17'' tyres,M6,1496,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,69,99,53
BMW,320d EfficientDynamics - 7Jx16'' wheels,A8,1995,Diesel,4.6,3.3,3.8,61.4,85.6,74.3,99,903,73,148,30
CITROEN,BlueHDi 100 S&S 16/17 inch wheels,M5,1560,Diesel,4.4,3.2,3.7,64.2,88.3,76.3,95,879,68.5,301,33
CITROEN,BlueHDi 75 S&S 15 inch wheels,M5,1560,Diesel,4.2,3.1,3.5,67.3,91.1,80.7,92,831,69.3,181,28
CITROEN,BlueHDi 75 S&S 16/17 inch wheels,M5,1560,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,93,855,69.3,181,28
CITROEN,BlueHDi 100,M5,1560,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,95,855,70.4,354,57
CITROEN,BlueHDi 100 (17'' wheels),M5,1560,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,98,903,70.4,354,57
CITROEN,"BlueHDi 120 S&S (16"" wheels)",M6,1560,Diesel,4.2,3.3,3.6,67.3,85.6,78.5,95,855,70.1,258,56
CITROEN,BlueHDi 120 S&S (17'' & 18'' wheels),M6,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,70.1,258,56
CITROEN,BlueHDi 120 S&S EAT6 (16'' wheels) 10/16 production onwards,A6,1560,Diesel,4.5,3.6,3.9,62.8,78.5,72.4,100,927,68,153,55
CITROEN,BlueHDi 120 S&S EAT6 (16'' wheels) production up to 09/16,A6,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,98,903,68,153,55
CITROEN,BlueHDi 100,M5,1560,Diesel,4.2,3.3,3.6,67.3,85.6,78.5,95,855,70.4,248,45
CITROEN,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,4.5,3.5,3.8,62.8,80.7,74.3,99,903,69.3,202,23
CITROEN,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,69.3,202,23
CITROEN,BlueHDi 120 S&S (16 inch wheels),M6,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,69.1,293,72
CITROEN,BlueHDi 120 S&S (17 inch wheels),M6,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,69.1,293,72
CITROEN,BlueHDi 120 S&S EAT6 (16 inch wheels) production up to 10/16,A6,1560,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,100,903,68.4,118,59
CITROEN,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,4.5,3.5,3.8,62.8,80.7,74.3,99,903,69.3,202,23
CITROEN,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,69.3,202,23
DACIA,dCi 90,M5,1461,Diesel,4.4,3.5,3.8,64.7,80.4,74.3,98,903,74.7,225,30
DS,BlueHDi 120 S&S,M6,1560,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,94,855,68.7,161,69
DS,BlueHDi 100 S&S,M5,1560,Diesel,4,3.3,3.5,70.6,85.6,80.7,92,831,69.5,196,34
DS,BlueHDi 120 S&S,M6,1560,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,94,855,68.7,161,69
DS,BlueHDi 120 S&S (17'' wheels),M6,1560,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,68.6,204,58
FIAT,1.3 16v MultiJet 95 bhp Trekking,M5,1248,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,67,164,53
FIAT,1.3 MultiJet 95 bhp,M5,1248,Diesel,4.5,3.3,3.7,62.8,85.6,76.3,99,879,72,216,54
FIAT,1.6 MultiJet 120 bhp,M6,1598,Diesel,4.4,3.3,3.7,64.2,85.6,76.3,98,879,69,166,66
FIAT,1.3 MultiJet 95 bhp,M5,1248,Diesel,4.5,3.3,3.7,62.8,85.6,76.3,99,879,72,216,54
FIAT,1.6 MultiJet 120 bhp,M6,1598,Diesel,4.4,3.3,3.7,64.2,85.6,76.3,98,879,69,166,66
FORD,1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,4,3.6,3.8,70.6,78.5,74.3,98,903,69,442,50
FORD,1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,4,3.6,3.8,70.6,78.5,74.3,98,903,69,442,50
FORD,1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,4,3.6,3.8,70.6,78.5,74.3,98,903,69,442,50
FORD,1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,4,3.6,3.8,70.6,78.5,74.3,98,903,69,442,50
FORD,1.5 TDCi Stop-Start (105PS),M6,1499,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,67,405,65
FORD,1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,70,352,51
FORD,1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,70,263,47
FORD,1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,70,352,51
FORD,1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,70,263,47
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,69,224,46
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,71,248,53
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,A6,1499,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,69,224,46
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,71,248,53
FORD,1.5 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,71,248,53
FORD,1.5 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,71,248,53
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,69,294,40
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,69,355,75
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,A6,1499,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,69,294,40
FORD,1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,69,355,75
FORD,1.5 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,68,355,75
FORD,1.5 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1499,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,99,903,68,355,75
FORD,1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Estate,M6,1499,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,68,407,70
FORD,1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Hatchback ,M6,1499,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,68,407,70
FORD,1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Estate,M6,1499,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,68,407,70
FORD,1.5 Duratorq TDCi ECOnetic + DPF (120PS) - Hatchback ,M6,1499,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,68,407,70
FORD,1.5 Duratorq TDCi (75PS) Stop/Start,M5,1499,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,99,903,70,308,34
HONDA,1.6 i-DTEC SE Plus Navi SR,M6,1597,Diesel,4,3.3,3.6,70.6,85.6,78.5,94,855,71,52,50
HONDA,1.6 i-DTEC Sport,M6,1597,Diesel,4.1,3.5,3.7,68.9,80.7,76.3,98,879,71,52,50
HONDA,1.6 i-DTEC S SE Plus SE Plus Navi,M6,1597,Diesel,4,3.6,3.8,70.6,78.5,74.3,99,903,71,64,52
HYUNDAI,1.6l CRDi,M6,1582,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,70.1,164,21
HYUNDAI,1.6l CRDi Blue Drive,M6,1582,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,70.1,164,21
JAGUAR,2.0L TDI4 (163PS) Manual,6MT,1999,Diesel,4.4,3.4,3.8,64.2,83.1,75,99,895,70,370,71
KIA,'1' 1.6 CRDi 134bhp ISG ,M6,1582,Diesel,4.2,3.4,3.6,67.3,83.1,78.5,94,855,74,293,47
KIA,'2' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,4.2,3.5,3.8,67.3,80.7,74.3,99,903,74,293,47
KIA,'3' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,4.2,3.5,3.8,67.3,80.7,74.3,99,903,74,293,47
KIA,'1' 1.4 CRDi 76bhp ISG,M6,1396,Diesel,4.2,3.1,3.5,67.2,91.1,80.7,92,831,69,217,33
KIA,'2' 1.4 CRDi 76bhp ISG,M6,1396,Diesel,4.2,3.1,3.5,67.2,91.1,80.7,92,831,69,217,33
KIA,'3' 1.4 CRDi 89bhp ISG,M6,1396,Diesel,4.3,3.4,3.8,65.7,83.1,74.3,98,903,69,199,27
KIA,'2' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,4.2,3.5,3.8,67.3,80.7,74.3,99,903,74,293,47
KIA,'3' 1.4 CRDi 89bhp ISG,M6,1396,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,98,903,72,234,50
MAZDA,1.5 SKYACTIV-D (105PS),M6,1499,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,67,261,63
MAZDA,1.5 SKYACTIV-D (105PS),M6,1499,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,67,261,63
MERCEDES-BENZ,A180 d with 16'' rear wheels,A7,1461,Diesel,4.3,3.4,3.7,65.7,83.1,76.4,98,878,68,269,61
MERCEDES-BENZ,A200 d with 16'' rear wheels,A7,2143,Diesel,4.6,3.4,3.8,61.4,83.1,74.3,99,903,73,158,65
MERCEDES-BENZ,A 180 d with 16'' rear wheels,A7,1461,Diesel,4.3,3.4,3.7,65.7,83.1,76.4,98,878,68,269,61
MERCEDES-BENZ,A 200 d with 16'' rear wheels,A7,2143,Diesel,4.6,3.4,3.8,61.4,83.1,74.3,99,903,73,158,65
MINI,MINI Cooper D - 15'' & 16'' tyres,M6,1496,Diesel,4.3,3.1,3.5,65.7,91.1,80.7,92,831,71,184,60
MINI,MINI Cooper D - 15'' & 16'' tyres,A6,1496,Diesel,4.2,3.5,3.7,67.3,80.7,76.3,98,879,70,157,49
MINI,MINI Cooper D - 17'' & 18'' tyres,M6,1496,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,95,855,71,184,60
MINI,MINI Cooper D - 17'' & 18'' tyres,A6,1496,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,70,157,49
MINI,MINI One D - 17'' & 18'' tyres,M6,1496,Diesel,4,3.2,3.5,70.6,88.3,80.7,92,831,71,193,38
MINI,MINI Cooper D - 15'' & 16'' tyres,M6,1496,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,95,855,71,184,60
MINI,MINI Cooper D - 15'' & 16'' tyres,A6,1496,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,99,903,70,157,49
MINI,MINI Cooper D - 17'' & 18'' tyres,M6,1496,Diesel,4.5,3.3,3.7,62.8,85.6,76.3,97,879,71,184,60
MINI,MINI One D - 15'' & 16'' tyres,M6,1496,Diesel,4,3.2,3.5,70.6,88.3,80.7,92,831,71,193,38
MINI,MINI One D - 17'' & 18'' tyres,M6,1496,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,71,193,38
MINI,MINI One D 15'' & 16'' tyres,M6,1496,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,903,69,184,60
MINI,MINI Cooper D - 15'' & 16'' tyres,M6,1496,Diesel,4.4,3.5,3.8,64.2,80.7,74.3,100,903,71,184,60
NISSAN,1461cc 15-16 inch wheel ,M5,1461,Diesel,4.1,3.5,3.7,68.9,80.7,76.3,97,879,66,175,27
NISSAN,1461cc 17 inch wheel stop start,M5,1461,Diesel,3.8,3.4,3.5,74.3,83.1,80.7,92,831,66,175,27
NISSAN,1.5 dCi,M5,1461,Diesel,4.2,3.2,3.6,67.3,88.3,78.5,93,855,70,139,19
NISSAN,1.5 dCi,M5,1461,Diesel,4.2,3.2,3.6,67.3,88.3,78.5,93,855,70,139,19
NISSAN,dCi 110,M6,1461,Diesel,4.1,3.3,3.6,68.9,85.6,78.5,94,855,69,200,23
NISSAN,dCi 110 19 inch wheel,M6,1461,Diesel,4.3,3.5,3.8,65.7,80.7,74.3,98,903,68,20,23
NISSAN,dCi 110 16/17 inch wheel,M6,1461,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,70,51,22
PEUGEOT,1.6 BlueHDi 120 S&S,M6,1560,Diesel,4.4,3.2,3.6,64.2,88.3,78.5,94,855,69,161,69
PEUGEOT,1.6 BlueHDi 100 S&S Access/Active,M5,1560,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,69.6,188,50
PEUGEOT,1.6 BlueHDi 100 S&S Active (17'' wheel upgrade),M5,1560,Diesel,4.4,3.2,3.7,64.2,88.3,76.3,96,879,69.6,188,50
PEUGEOT,1.6 BlueHDi 120 EAT6 S&S (16 inch wheels) 10/16 production onward,A6,1560,Diesel,4.1,3.4,3.6,68.9,83.1,78.5,95,855,68.6,143,44
PEUGEOT,1.6 BlueHDi 120 S&S GT Line,M6,1560,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,98,903,68.3,190,65
PEUGEOT,BlueHDi 120 S&S - 05/16 production onwards,M6,1560,Diesel,4.6,3.3,3.8,61.4,85.6,74.3,99,903,67.9,156,65
PEUGEOT,1.6 BlueHDi 100,M5,1560,Diesel,4.4,3.3,3.7,64.2,85.6,76.3,97,879,68.4,272,55
PEUGEOT,1.6 BlueHDi 120 S&S,M6,1560,Diesel,4.3,3.3,3.7,65.7,85.6,76.3,96,879,70.5,148,55
PEUGEOT,1.6 BlueHDi 75,M5,1560,Diesel,4.4,3.3,3.7,64.2,85.6,76.3,97,879,68.5,272,55
PEUGEOT,1.6 BlueHDi 100 S&S Access/Active,M5,1560,Diesel,4.3,3.2,3.6,65.7,88.3,78.5,94,855,69.6,188,50
PEUGEOT,1.6 BlueHDi 100 S&S Active (17'' wheel upgrade),M5,1560,Diesel,4.4,3.2,3.7,64.2,88.3,76.3,96,879,69.6,188,50
PEUGEOT,1.6 BlueHDi 120 EAT6 S&S (16 inch wheels) 10/16 production onward,A6,1560,Diesel,4.2,3.5,3.8,67.3,80.7,74.3,99,903,68.6,143,44
PEUGEOT,1.6 BlueHDi 120 S&S - 05/16 production onwards,M6,1560,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,100,903,67.9,156,65
RENAULT,dCi 90 EDC,A6,1461,Diesel,4,3.7,3.8,70.6,76.3,74.3,99,903,70.2,188,40
RENAULT,dCi 90 EDC Nav Mud & Snow Tyres,A6,1461,Diesel,4.2,3.9,4,67.3,72.4,70.6,99,950,70.2,188,40
RENAULT,Energy dCi 110 Stop Start,M6,1461,Diesel,4,3.6,3.7,70.6,78.5,76.4,98,878,71.5,91,37
RENAULT,Energy dCi 90 Stop Start,M5,1461,Diesel,4,3.4,3.6,70.7,83.1,78.5,95,855,71,155,31
RENAULT,Energy dCi 90 Stop Start Nav Mud & Snow Tyres,M5,1461,Diesel,4.1,3.5,3.7,68.9,80.7,76.3,95,879,71,155,31
RENAULT,Iconic Energy dCi 110 Stop Start,M6,1461,Diesel,4,3.6,3.7,70.6,78.5,76.4,98,878,71.5,91,37
RENAULT,Iconic Energy dCi 90 Auto EDC Stop Start,A6,1461,Diesel,4,3.7,3.8,70.6,76.3,74.3,99,903,70.2,188,40
RENAULT,Iconic Energy dCi 90 Stop Start,M5,1461,Diesel,4,3.4,3.6,70.6,83.1,78.5,95,855,71,150,34
RENAULT,dCi 90 Auto EDC ,A6,1461,Diesel,3.9,3.3,3.5,72.4,85.6,80.7,92,831,72.7,135,30
RENAULT,dCi 90 EDC,A6,1461,Diesel,3.9,3.3,3.5,72.4,85.6,80.7,92,831,72.7,135,30
RENAULT,dCi 110 Hybrid Assist,M6,1461,Diesel,4,3.2,3.5,70.6,88.3,80.7,94,831,71.1,119,45
RENAULT,dCi 110 EDC 16/17 inch wheel,A6,1461,Diesel,3.8,3.8,3.8,74.3,74.3,74.3,99,903,71.8,102,51
RENAULT,Energy dCi 110 S/S 16/17 inch wheel,M6,1461,Diesel,4.1,3.6,3.8,68.9,78.5,74.3,99,903,72.9,143,53
RENAULT,dCi 110 16/17 inch wheel,M6,1461,Diesel,4.1,3.5,3.7,68.9,80.7,76.4,96,878,72,235,34
RENAULT,dCi 110 16/17 inch wheel EDC,A6,1461,Diesel,4.1,3.6,3.8,68.9,78.5,74.3,98,903,69.9,163,38
RENAULT,dCi 110 18 inch wheel EDC,A6,1461,Diesel,4.2,3.6,3.8,67.3,78.5,74.3,99,903,69.9,163,38
RENAULT,Energy dCi 110 S/S,M6,1461,Diesel,3.9,3.4,3.6,72.4,83.1,78.5,93,855,72.8,171,64
